IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
1621;1621-6;1621-6-3;20;TEC-COM;Mujer;LOS MOLINOS 2;2;1;6;$ 2.500.001 - $ 3.500.000;0;BOGOTA, D.C;Uber ;Auto;UPR;No tiene vehículo;UPR;;RAFAEL URIBE URIBE;cluster_0
16280;16280-6;16280-6-1;10;PRI-IN;Sin Dato;NUEVA HOLANDA;2;1;6;$828.117 - $ 1.500.000;0;FACATATIVA;Uber ;A pie;UPR;No tiene vehículo;FACATATIVA;;FACATATIVA;cluster_0
16280;16280-6;16280-6-2;10;PRI-IN;Sin Dato;NUEVA HOLANDA;2;1;6;$828.117 - $ 1.500.000;0;FACATATIVA;Uber ;A pie;UPR;No tiene vehículo;FACATATIVA;;FACATATIVA;cluster_0
16330;16330-6;16330-6-2;6;PRI-IN;Sin Dato;LA SUREÃ‘A;1;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;;Transporte Escolar;\N;No tiene vehículo;\N;;\N;cluster_0
16330;16330-6;16330-6-1;6;PRI-IN;Sin Dato;LA SUREÃ‘A;1;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;;Transporte Escolar;\N;No tiene vehículo;\N;;\N;cluster_0
16346;16346-6;16346-6-2;11;SEC-IN;Sin Dato;INDUSTRIAL CENTENARIO;2;1;7;$ 2.500.001 - $ 3.500.000;1;BOGOTA, D.C;Uber ;Auto;PUENTE ARANDA;Carro;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16346;16346-6;16346-6-1;11;SEC-IN;Sin Dato;INDUSTRIAL CENTENARIO;2;1;7;$ 2.500.001 - $ 3.500.000;1;BOGOTA, D.C;Uber ;Auto;PUENTE ARANDA;Carro;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16455;16455-6;16455-6-1;32;TEC-COM;Sin Dato;MILENTA;3;1;8;$4.900.001 - $ 6.800.000;3;BOGOTA, D.C;Uber ;Auto;PUENTE ARANDA;Carro y Moto;PUENTE ARANDA;;CHAPINERO;cluster_0
16455;16455-6;16455-6-2;32;TEC-COM;Sin Dato;MILENTA;3;1;8;$4.900.001 - $ 6.800.000;3;BOGOTA, D.C;Uber ;Moto;CHAPINERO;Carro y Moto;CHAPINERO;4°38?45?N 74°03?48?O;PUENTE ARANDA;cluster_0
16507;16507-6;16507-6-3;7;PRI-IN;Sin Dato;ALCALÃ?;3;2;6;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;Bicicleta;KENNEDY;No tiene vehículo;KENNEDY;;PUENTE ARANDA;cluster_0
16507;16507-6;16507-6-2;7;PRI-IN;Sin Dato;ALCALÃ?;3;2;6;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;Bicicleta;PUENTE ARANDA;No tiene vehículo;PUENTE ARANDA;;KENNEDY;cluster_0
16507;16507-6;16507-6-1;7;PRI-IN;Sin Dato;ALCALÃ?;3;2;6;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;Bicicleta;PUENTE ARANDA;No tiene vehículo;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16538;16538-6;16538-6-1;9;PRI-IN;Sin Dato;CENTRO;2;1;7;$ 6.800.001 - $ 9.000.000;3;TENJO;Uber ;A pie;UPR;Carro y Moto;TENJO;;TENJO;cluster_0
16632;16632-6;16632-6-1;8;PRI-IN;Sin Dato;CUNDINAMARCA;3;3;7;$ 2.500.001 - $ 3.500.000;2;BOGOTA, D.C;Uber ;A pie;PUENTE ARANDA;Carro y Moto;PUENTE ARANDA;;TEUSAQUILLO;cluster_0
16632;16632-6;16632-6-2;8;PRI-IN;Sin Dato;CUNDINAMARCA;3;3;7;$ 2.500.001 - $ 3.500.000;2;BOGOTA, D.C;Uber ;A pie;TEUSAQUILLO;Carro y Moto;TEUSAQUILLO;;PUENTE ARANDA;cluster_0
16641;16641-6;16641-6-2;7;PRI-IN;Sin Dato;INGLES;3;1;7;$ 6.800.001 - $ 9.000.000;0;BOGOTA, D.C;Uber ;Transporte Escolar;UPR;No tiene vehículo;UPR;;RAFAEL URIBE URIBE;cluster_0
16641;16641-6;16641-6-1;7;PRI-IN;Sin Dato;INGLES;3;1;7;$ 6.800.001 - $ 9.000.000;0;BOGOTA, D.C;Uber ;Transporte Escolar;RAFAEL URIBE URIBE;No tiene vehículo;RAFAEL URIBE URIBE;4°34?47?N 74°07?03?O;UPR;cluster_0
16682;16682-6;16682-6-2;11;PRI-IN;Sin Dato;PUENTE ARANDA;3;3;6;No sabe - No responde;1;BOGOTA, D.C;Uber ;A pie;PUENTE ARANDA;Moto;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16682;16682-6;16682-6-1;11;PRI-IN;Sin Dato;PUENTE ARANDA;3;3;6;No sabe - No responde;1;BOGOTA, D.C;Uber ;A pie;PUENTE ARANDA;Moto;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16682;16682-6;16682-6-4;11;PRI-IN;Sin Dato;PUENTE ARANDA;3;3;6;No sabe - No responde;1;BOGOTA, D.C;Uber ;A pie;PUENTE ARANDA;Moto;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
16682;16682-6;16682-6-3;11;PRI-IN;Sin Dato;PUENTE ARANDA;3;3;6;No sabe - No responde;1;BOGOTA, D.C;Uber ;A pie;PUENTE ARANDA;Moto;PUENTE ARANDA;;PUENTE ARANDA;cluster_0
